Pavadinimas,Metai,Trukme,Filmo indeksas,Ivertinimas pagal zmones,Ivertinimas pagal kritikus,Votes
129. Titanic,1997,3h 14m,PG-13,7.9,75,"1,256,425"
130. Watchmen,2009,2h 42m,R,7.6,56,"573,595"
131. Argylle,2024,2h 15m,PG-13,,,N/A
132. The Zone of Interest,2023,1h 45m,PG-13,8.1,94,"1,544"
133. The Santa Clause 2,2002,1h 44m,G,5.7,48,"62,391"
134. The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG-13,8.8,92,"1,963,737"
135. Christmas as Usual,2023,1h 28m,TV-14,5.5,,"1,607"
136. Gladiator 2,2024,,,,,N/A
137. When Evil Lurks,2023,1h 39m,Not Rated,7.0,75,"16,037"
138. Blade Runner 2049,2017,2h 44m,R,8.0,81,"635,901"
139. Asteroid City,2023,1h 45m,PG-13,6.6,75,"89,472"
140. A Good Person,2023,2h 8m,R,7.1,50,"17,202"
141. Old Dads,2023,1h 44m,R,6.2,42,"32,723"
142. Krampus,2015,1h 38m,PG-13,6.2,49,"81,036"
143. The Boys in the Boat,2023,2h 4m,PG-13,,,N/A
144. Guardians of the Galaxy Vol. 3,2023,2h 30m,PG-13,7.9,64,"349,729"
145. Fight Club,1999,2h 19m,R,8.8,67,"2,264,206"
146. The Marsh King's Daughter,2023,1h 49m,R,5.9,46,"4,297"
147. Gran Turismo,2023,2h 14m,PG-13,7.2,48,"62,704"
148. Migration,2023,1h 32m,PG,7.4,,310
149. Fargo,1996,1h 38m,R,8.1,86,"710,398"
150. Pain Hustlers,2023,2h 3m,R,6.5,44,"31,007"
151. Dumb Money,2023,1h 45m,R,6.9,66,"20,001"
152. Saw X,2023,1h 58m,R,6.6,60,"58,310"
153. Priscilla,2023,1h 53m,R,7.1,78,"6,161"
154. Beetlejuice 2,2024,,,,,N/A
155. A Christmas Story Christmas,2022,1h 38m,PG,6.7,55,"16,949"
156. Pulp Fiction,1994,2h 34m,R,8.9,95,"2,168,897"
157. Love,2015,2h 15m,TV-MA,6.1,51,"65,068"
158. Dungeons & Dragons: Honor Among Thieves,2023,2h 14m,PG-13,7.3,72,"204,600"
159. Night Swim,2024,1h 56m,PG-13,,,N/A
160. Inception,2010,2h 28m,PG-13,8.8,74,"2,494,427"
161. Avatar: The Way of Water,2022,3h 12m,PG-13,7.6,67,"470,966"
162. L.A. Confidential,1997,2h 18m,R,8.2,91,"606,481"
163. The Family Plan,2023,1h 58m,PG-13,,,N/A
164. The Family Stone,2005,1h 43m,PG-13,6.3,56,"72,763"
165. The Oath,2023,1h 44m,PG-13,3.4,,169
"166. Salò, or the 120 Days of Sodom",1975,1h 57m,TV-MA,5.8,,"64,489"
167. Godzilla: King of the Monsters,2019,2h 12m,PG-13,6.0,48,"198,099"
168. The Jester,2023,1h 30m,,4.1,,898
169. Black Swan,2010,1h 48m,R,8.0,79,"807,889"
170. Top Gun: Maverick,2022,2h 10m,PG-13,8.3,78,"645,667"
171. She's the Man,2006,1h 45m,PG-13,6.4,45,"171,769"
172. Babylon,2022,3h 9m,R,7.1,61,"154,268"
173. Inglourious Basterds,2009,2h 33m,R,8.4,69,"1,544,470"
174. Fair Play,2023,1h 53m,R,6.4,73,"29,112"
175. Nyad,2023,2h 1m,PG-13,7.1,64,"12,617"
176. Joker: Folie à Deux,2024,,,,,N/A
177. How the Gringo Stole Christmas,2023,1h 21m,PG-13,3.3,,268
178. Home Alone 3,1997,1h 42m,PG,4.6,,"123,997"
179. Good Burger 2,2023,1h 30m,TV-PG,5.4,48,"2,181"
180. Death on the Nile,2022,2h 7m,PG-13,6.3,52,"179,380"
181. Raiders of the Lost Ark,1981,1h 55m,PG,8.4,86,"1,020,893"
182. The Gentlemen,2019,1h 53m,R,7.8,51,"377,038"
183. Pearl,2022,1h 43m,R,7.0,76,"82,419"
184. Please Don't Destroy: The Treasure of Foggy Mountain,2023,1h 32m,R,6.1,49,"4,001"
185. Kingdom of the Planet of the Apes,2024,,,,,N/A
186. Django Unchained,2012,2h 45m,R,8.5,81,"1,655,351"
187. Naga,2023,1h 51m,TV-MA,4.8,,"3,105"
188. Mission Raniganj,2023,2h 14m,,7.4,,"14,405"
189. Lucy,2014,1h 29m,R,6.4,62,"524,756"
190. Bad Santa,2003,1h 32m,R,7.1,70,"151,331"
191. Whiplash,2014,1h 46m,R,8.5,89,"950,685"
192. The Flash,2023,2h 24m,PG-13,6.7,55,"189,664"
193. Midsommar,2019,2h 28m,R,7.1,72,"381,051"
194. Once Upon a Time in Hollywood,2019,2h 41m,R,7.6,83,"813,224"
195. American Fiction,2023,1h 57m,R,7.8,80,859
196. Uncharted,2022,1h 56m,PG-13,6.3,45,"245,488"
197. Elemental,2023,1h 41m,PG,7.0,58,"101,431"
198. Eyes Wide Shut,1999,2h 39m,TV-MA,7.5,69,"366,061"
199. Fast X,2023,2h 21m,PG-13,5.8,56,"104,612"
200. Fallen Leaves,2023,1h 21m,,7.6,87,"4,901"
201. The Hunger Games: Mockingjay - Part 2,2015,2h 17m,PG-13,6.5,65,"360,308"
202. The Muppet Christmas Carol,1992,1h 25m,G,7.8,64,"66,397"
203. The Three Musketeers - Part I: D'Artagnan,2023,2h 1m,,6.7,78,"14,749"
204. All of Us Strangers,2023,1h 45m,R,,91,N/A
205. The Menu,2022,1h 47m,R,7.2,71,"364,426"
206. The Nightmare Before Christmas,1993,1h 16m,PG,7.9,82,"367,715"
207. Jack Frost,1998,1h 41m,PG,5.4,40,"39,652"
"208. The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,2h 23m,PG,6.9,75,"419,469"
209. The Christmas Chronicles,2018,1h 44m,PG,7.0,52,"80,373"
210. Expend4bles,2023,1h 43m,R,4.8,30,"26,786"
211. Triangle of Sadness,2022,2h 27m,R,7.3,63,"162,226"
212. Goodfellas,1990,2h 25m,R,8.7,92,"1,229,381"
213. Thank You for Coming,2023,1h 59m,,4.9,68,"7,633"
214. Silver and the Book of Dreams,2023,1h 32m,,5.6,,602
215. The Northman,2022,2h 17m,R,7.0,82,"241,643"
216. Requiem for a Dream,2000,1h 42m,Unrated,8.3,71,"883,016"
217. Transformers: Rise of the Beasts,2023,2h 7m,PG-13,6.1,42,"90,411"
218. Parasite,2019,2h 12m,R,8.5,96,"909,074"
219. Kingdom of Heaven,2005,2h 24m,R,7.2,63,"307,030"
220. The Covenant,2023,2h 3m,R,7.5,63,"143,033"
221. Merry Little Batman,2023,1h 32m,,6.4,,900
222. American Pie,1999,1h 35m,R,7.0,58,"426,753"
223. American Psycho,2000,1h 42m,R,7.6,64,"689,078"
224. Miracle on 34th Street,1947,1h 36m,Not Rated,7.9,88,"52,591"
225. Léon: The Professional,1994,1h 50m,R,8.5,64,"1,221,046"
226. Sing 2,2021,1h 50m,PG,7.4,49,"81,838"
227. Spider-Man: No Way Home,2021,2h 28m,PG-13,8.2,71,"847,742"
228. There Will Be Blood,2007,2h 38m,R,8.2,93,"628,154"
229. The Hunger Games: Mockingjay - Part 1,2014,2h 3m,PG-13,6.6,64,"489,515"
230. Joker,2019,2h 2m,R,8.4,59,"1,428,592"
231. Journey to Bethlehem,2023,1h 39m,PG,6.3,,992
232. Se7en,1995,2h 7m,R,8.6,65,"1,755,833"
233. Bullet Train,2022,2h 7m,R,7.3,49,"396,773"
234. Avengers: Endgame,2019,3h 1m,PG-13,8.4,78,"1,231,502"
235. Wifelike,2022,1h 45m,R,4.9,,"3,576"
236. Harry Potter and the Goblet of Fire,2005,2h 37m,PG-13,7.7,81,"665,900"
237. Don't Worry Darling,2022,2h 3m,R,6.3,48,"134,777"
238. The Whale,2022,1h 57m,R,7.7,60,"191,841"
239. The Matrix,1999,2h 16m,R,8.7,73,"2,010,792"
240. Dashing Through the Snow,2023,1h 32m,PG,5.5,,"2,166"
241. Mean Girls,2004,1h 37m,PG-13,7.1,66,"417,092"
242. Heat,1995,2h 50m,R,8.3,76,"701,978"
243. The Little Mermaid,2023,2h 15m,PG,7.2,59,"145,717"
244. Little Women,2019,2h 15m,PG,7.8,91,"233,292"
245. Gone Girl,2014,2h 29m,R,8.1,79,"1,043,106"
246. The Goonies,1985,1h 54m,PG,7.7,62,"292,534"
247. American Beauty,1999,2h 2m,R,8.3,84,"1,194,629"
248. Schindler's List,1993,3h 15m,R,9.0,95,"1,421,433"
249. The Departed,2006,2h 31m,R,8.5,85,"1,394,763"
250. Blockers,2018,1h 42m,R,6.2,69,"83,942"
251. Shazam! Fury of the Gods,2023,2h 10m,PG-13,6.0,47,"114,773"
252. The Wicker Man,1973,1h 28m,R,7.5,87,"89,799"
"253. Crazy, Stupid, Love.",2011,1h 58m,PG-13,7.4,68,"551,421"
254. Last Call for Istanbul,2023,1h 31m,TV-MA,5.4,,"6,517"
255. No Time to Die,2021,2h 43m,PG-13,7.3,68,"434,092"
256. The Silence of the Lambs,1991,1h 58m,R,8.6,86,"1,513,386"
257. Alien,1979,1h 57m,R,8.5,89,"930,276"
258. The Color Purple,1985,2h 34m,PG-13,7.7,78,"93,425"
259. The Big Lebowski,1998,1h 57m,R,8.1,71,"846,403"
260. Fifty Shades of Grey,2015,2h 5m,R,4.2,46,"331,475"
261. Next Goal Wins,2023,1h 44m,PG-13,6.5,44,"3,038"
262. Good Boys,2019,1h 30m,R,6.7,,"79,670"
263. The Father,2020,1h 37m,PG-13,8.2,88,"182,426"
264. Blade Runner,1982,1h 57m,R,8.1,84,"808,122"
265. Forrest Gump,1994,2h 22m,PG-13,8.8,82,"2,204,068"
266. Beau Is Afraid,2023,2h 59m,R,6.8,63,"47,867"
267. Infinity Pool,2023,1h 57m,R,6.0,72,"48,214"
268. Eight Crazy Nights,2002,1h 16m,PG-13,5.3,23,"24,800"
269. Scrapper,2023,1h 24m,Not Rated,7.0,74,"2,995"
270. Civil War,R,,,,,N/A
271. The Notebook,2004,2h 3m,PG-13,7.8,53,"604,785"
272. Chicken Run: Dawn of the Nugget,2023,1h 41m,PG,7.4,62,349
273. The Abyss,1989,2h 20m,PG-13,7.5,62,"187,843"
274. Promising Young Woman,2020,1h 53m,R,7.5,72,"200,347"
275. Hypnotic,2023,1h 33m,R,5.5,53,"26,926"
276. Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,1h 39m,PG,7.2,74,"51,511"
277. Man of Steel,2013,2h 23m,PG-13,7.1,55,"801,618"
278. The Night Before,2015,1h 41m,R,6.4,58,"80,407"
279. Kong: Skull Island,2017,1h 58m,PG-13,6.7,62,"339,128"
280. Good Will Hunting,1997,2h 6m,R,8.3,70,"1,033,896"
281. BlackBerry,2023,2h,R,7.4,78,"28,963"
282. Nosferatu,2024,,,,,N/A
283. Spirited Away,2001,2h 5m,PG,8.6,96,"822,471"
284. Tombstone,1993,2h 10m,R,7.8,50,"161,652"
285. Saving Private Ryan,1998,2h 49m,R,8.6,91,"1,465,723"
286. John Wick,2014,1h 41m,R,7.4,68,"721,936"
287. Meg 2: The Trench,2023,1h 56m,PG-13,5.0,40,"66,640"
288. How to Have Sex,2023,1h 31m,,7.1,80,"2,014"
289. Fred Claus,2007,1h 56m,PG,5.7,42,"46,599"
290. Mad Max,1979,1h 28m,R,6.8,73,"218,018"
291. The Prestige,2006,2h 10m,PG-13,8.5,66,"1,411,537"
292. Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,PG-13,8.1,85,"927,522"
293. No Country for Old Men,2007,2h 2m,R,8.2,92,"1,035,135"
294. Hereditary,2018,2h 7m,R,7.3,87,"363,335"
295. Good Grief,2023,1h 40m,R,,,N/A
296. The Killing of a Sacred Deer,2017,2h 1m,R,7.0,73,"173,160"
297. Deck the Halls,2006,1h 33m,PG,5.0,28,"31,770"
298. Your Christmas or Mine 2,2023,1h 41m,,5.8,,621
299. Nativity!,2009,1h 45m,PG,6.4,,"11,924"
300. Troy,2004,2h 43m,R,7.3,56,"560,611"
301. The Burial,2023,2h 6m,R,7.1,74,"25,228"
302. Strays,2023,1h 33m,R,6.3,54,"21,572"
303. National Lampoon's Vacation,1983,1h 38m,R,7.3,55,"117,921"
304. Back to the Future,1985,1h 56m,PG,8.5,87,"1,278,010"
305. Nowhere,2023,1h 49m,TV-MA,6.3,,"28,108"
306. Race for Glory: Audi vs. Lancia,2024,R,,,,N/A
307. Murder on the Orient Express,2017,1h 54m,PG-13,6.5,52,"284,799"
308. Alien: Covenant,2017,2h 2m,R,6.4,65,"298,072"
309. A Serbian Film,2010,1h 44m,NC-17,5.0,,"69,866"
310. Alien: Romulus,2024,,,,,N/A
311. Elvis,2022,2h 39m,PG-13,7.3,64,"220,812"
"312. Are You There God? It's Me, Margaret.",2023,1h 46m,PG-13,7.3,84,"18,870"
313. Love Story,1970,1h 40m,PG,6.9,84,"36,590"
314. Theater Camp,2023,1h 32m,PG-13,7.0,70,"11,601"
315. The Princess Bride,1987,1h 38m,PG,8.0,78,"444,264"
316. Aliens,1986,2h 17m,R,8.4,84,"749,977"
317. Holidate,2020,1h 44m,TV-MA,6.1,44,"75,812"
318. Totally Killer,2023,1h 46m,R,6.5,62,"40,951"
319. Pride & Prejudice,2005,2h 9m,PG,7.8,82,"321,382"
320. Prisoners,2013,2h 33m,R,8.1,70,"783,180"
321. The Exorcist,1973,2h 2m,R,8.1,82,"446,048"
322. Wind River,2017,1h 47m,R,7.7,73,"273,245"
323. The Lord of the Rings: The Return of the King,2003,3h 21m,PG-13,9.0,94,"1,936,846"
324. Your Christmas or Mine?,2022,1h 35m,,6.4,,"7,874"
325. The Bikeriders,2023,1h 56m,R,7.6,71,967
326. What Happens Later,2023,1h 43m,R,5.0,65,"1,347"
327. Greater,2016,2h 10m,PG,7.3,35,"7,477"
328. Harry Potter and the Prisoner of Azkaban,2004,2h 22m,PG,7.9,82,"675,124"
329. Monster,2023,2h 6m,PG-13,8.1,82,"3,790"
330. Scarface,1983,2h 50m,18+,8.3,65,"895,691"
331. The Banshees of Inisherin,2022,1h 54m,R,7.7,87,"234,908"
332. The Nun II,2023,1h 50m,R,5.6,47,"50,198"
333. Evil Dead Rise,2023,1h 36m,R,6.5,69,"126,067"
334. The Santa Clause 3: The Escape Clause,2006,1h 32m,G,4.8,32,"41,514"
335. The Equalizer,2014,2h 12m,R,7.2,57,"407,159"
336. A Man Called Otto,2022,2h 6m,PG-13,7.5,51,"143,214"
337. Jurassic Park,1993,2h 7m,PG-13,8.2,68,"1,045,004"
338. The Beekeeper,2024,1h 45m,R,,,N/A
339. Four Weddings and a Funeral,1994,1h 57m,R,7.1,81,"162,431"
340. Harry Potter and the Chamber of Secrets,2002,2h 41m,PG,7.4,63,"676,121"
341. Kandahar,2023,1h 59m,R,6.1,52,"27,156"
342. Indiana Jones and the Temple of Doom,1984,1h 58m,PG,7.5,57,"526,482"
343. Love Hard,2021,1h 44m,TV-MA,6.3,42,"59,253"
344. Wicked,2024,,,,,N/A
345. The Green Mile,1999,3h 9m,R,8.6,61,"1,376,220"
346. Eternal Sunshine of the Spotless Mind,2004,1h 48m,R,8.3,89,"1,056,210"
347. Joy Ride,2023,1h 35m,R,6.4,74,"18,103"
348. Godzilla,1954,1h 36m,Not Rated,7.5,78,"37,423"
349. Shutter Island,2010,2h 18m,R,8.2,63,"1,415,357"
350. Spider-Man: Into the Spider-Verse,2018,1h 57m,PG,8.4,87,"644,512"
351. Beverly Hills Cop: Axel Foley,2024,,,,,N/A
352. Australia,2008,2h 45m,PG-13,6.6,53,"128,597"
353. 365 Days,2020,1h 54m,TV-MA,3.3,,"96,333"
354. Belfast,2021,1h 38m,PG-13,7.2,75,"86,580"
355. Noelle,2019,1h 40m,G,6.3,48,"25,452"
356. The Lost City,2022,1h 52m,PG-13,6.1,60,"147,604"
357. Sisu,2022,1h 31m,R,6.9,70,"63,200"
358. Get Out,2017,1h 44m,R,7.8,85,"672,881"
359. Star Wars: Episode IV - A New Hope,1977,2h 1m,PG,8.6,90,"1,425,513"
360. Frozen,2013,1h 42m,PG,7.4,75,"652,849"
361. Twilight,2008,2h 2m,PG-13,5.3,56,"480,618"
362. The Favourite,2018,1h 59m,R,7.5,91,"215,512"
363. A Boy Called Christmas,2021,1h 46m,PG,6.7,61,"25,439"
364. Jeanne du Barry,2023,1h 53m,,6.7,51,"8,267"
365. The Dark Knight Rises,2012,2h 44m,PG-13,8.4,78,"1,792,228"
366. Tenet,2020,2h 30m,PG-13,7.3,69,"570,747"
367. Oldboy,2003,2h,R,8.4,78,"618,829"
368. The Meg,2018,1h 53m,PG-13,5.6,46,"202,412"
369. The Sacrifice Game,2023,1h 30m,,5.5,54,537
370. No One Will Save You,2023,1h 33m,PG-13,6.3,60,"54,778"
371. The Noel Diary,2022,1h 39m,TV-14,6.1,63,"17,982"
372. Renfield,2023,1h 33m,R,6.4,53,"83,174"
373. Her,2013,2h 6m,R,8.0,91,"654,482"
374. Taken,2008,1h 30m,PG-13,7.8,51,"625,035"
375. The Secret: Dare to Dream,2020,1h 47m,PG,6.5,32,"16,687"
376. Call Me by Your Name,2017,2h 12m,R,7.8,94,"302,041"
377. Harry Potter and the Deathly Hallows: Part 1,2010,2h 26m,PG-13,7.7,65,"584,931"
378. Catch Me If You Can,2002,2h 21m,PG-13,8.1,75,"1,063,877"
379. Nobody,2021,1h 32m,R,7.4,64,"311,401"
380. The Family Man,2000,2h 5m,PG-13,6.8,42,"116,482"
381. The Last Duel,2021,2h 32m,R,7.4,67,"175,502"
382. The Last Voyage of the Demeter,2023,1h 58m,R,6.1,52,"37,732"
383. Girl in the Basement,2021,1h 28m,TV-14,6.3,,"12,396"
"384. Planes, Trains & Automobiles",1987,1h 33m,R,7.6,72,"156,645"
385. Indiana Jones and the Kingdom of the Crystal Skull,2008,2h 2m,PG-13,6.2,65,"484,383"
386. Indiana Jones and the Last Crusade,1989,2h 7m,PG-13,8.2,65,"798,033"
387. Beetlejuice,1988,1h 32m,PG,7.5,70,"331,004"
388. Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,PG-13,8.1,63,"1,185,908"
389. 65,2023,1h 33m,PG-13,5.4,40,"80,628"
390. The Lobster,2015,1h 59m,R,7.1,82,"280,129"
391. Femme,2023,1h 39m,,7.7,67,491
392. Dazed and Confused,1993,1h 43m,R,7.6,82,"195,893"
393. Barbarian,2022,1h 42m,R,7.0,78,"168,354"
394. The Sound of Music,1965,2h 52m,G,8.1,63,"252,605"
395. 2001: A Space Odyssey,1968,2h 29m,G,8.3,84,"705,505"
396. Silent Night,2021,1h 32m,,5.7,52,"17,280"
397. The Truman Show,1998,1h 43m,PG,8.2,90,"1,162,228"
398. Don't Look Up,2021,2h 18m,R,7.2,49,"579,260"
399. Inside Out 2,2024,,,,,N/A
400. Drive,2011,1h 40m,R,7.8,79,"689,910"
401. The Outsiders,1983,1h 31m,PG,7.0,45,"94,993"
402. Thor: Love and Thunder,2022,1h 58m,PG-13,6.2,57,"385,944"
403. Sicario,2015,2h 1m,R,7.7,82,"461,460"
