Pavadinimas,Metai,Trukme,Filmo indeksas,Ivertinimas pagal zmones,Ivertinimas pagal kritikus,Votes
103. The Godfather,1972,175,R,9.2,100,"1,971,749"
104. Ferrari,2023,130,R,6.6,74,"1,349"
105. I.S.S.,2023,95,R,7.0,,63
106. 12th Fail,2023,147,,9.2,,"9,599"
107. The Hunger Games: Catching Fire,2013,146,PG-13,7.5,76,"705,583"
108. Willy Wonka & the Chocolate Factory,1971,100,G,7.8,67,"217,284"
109. Miracle on 34th Street,1994,114,PG,6.6,,"41,696"
110. Suicide Squad,2016,123,PG-13,5.9,40,"712,742"
111. Feast of the Seven Fishes,2019,99,,6.8,68,"2,473"
112. Sound of Freedom,2023,131,PG-13,7.7,36,"88,437"
113. Godzilla,2014,123,PG-13,6.4,62,"431,597"
114. Charlie and the Chocolate Factory,2005,115,PG,6.7,72,"512,558"
115. Uncle Buck,1989,100,PG,7.1,51,"105,474"
116. Klaus,2019,96,PG,8.2,65,"176,668"
117. Jingle All the Way,1996,89,PG,5.7,34,"112,245"
118. Office Christmas Party,2016,105,R,5.9,42,"85,578"
119. Bottoms,2023,91,R,6.8,74,"23,894"
120. A Christmas Carol,2009,96,PG,6.8,55,"125,885"
121. EXmas,2023,93,,5.7,,"2,933"
122. Christmas with the Kranks,2004,99,PG,5.4,22,"55,162"
123. The Dark Knight,2008,152,PG-13,9.0,84,"2,810,228"
124. Prometheus,2012,124,R,7.0,64,"634,558"
125. Gremlins,1984,106,PG,7.3,70,"241,226"
126. Four Christmases,2008,88,PG-13,5.7,41,"78,114"
127. Mean Girls,2024,N/A,,,,N/A
128. The Naughty Nine,2023,83,TV-PG,5.1,,"1,230"
129. Titanic,1997,194,PG-13,7.9,75,"1,256,506"
130. Watchmen,2009,162,R,7.6,56,"573,611"
131. Argylle,2024,135,PG-13,,,N/A
132. The Zone of Interest,2023,105,PG-13,8.1,94,"1,547"
133. The Santa Clause 2,2002,104,G,5.7,48,"62,401"
134. The Lord of the Rings: The Fellowship of the Ring,2001,178,PG-13,8.8,92,"1,963,838"
135. Christmas as Usual,2023,88,TV-14,5.5,,"1,646"
136. Gladiator 2,2024,N/A,,,,N/A
137. When Evil Lurks,2023,99,Not Rated,7.0,75,"16,061"
138. Blade Runner 2049,2017,164,R,8.0,81,"635,951"
139. Asteroid City,2023,105,PG-13,6.6,75,"89,510"
140. A Good Person,2023,128,R,7.1,50,"17,218"
141. Old Dads,2023,104,R,6.2,42,"32,742"
142. Krampus,2015,98,PG-13,6.2,49,"81,049"
143. The Boys in the Boat,2023,124,PG-13,,,N/A
144. Guardians of the Galaxy Vol. 3,2023,150,PG-13,7.9,64,"349,824"
145. Fight Club,1999,139,R,8.8,67,"2,264,399"
146. The Marsh King's Daughter,2023,109,R,5.9,46,"4,314"
147. Gran Turismo,2023,134,PG-13,7.2,48,"62,737"
148. Migration,2023,92,PG,7.3,,328
149. Fargo,1996,98,R,8.1,86,"710,431"
150. Pain Hustlers,2023,123,R,6.5,44,"31,058"
151. Dumb Money,2023,105,R,6.9,66,"20,025"
152. Saw X,2023,118,R,6.6,60,"58,340"
153. Priscilla,2023,113,R,7.1,78,"6,170"
154. Beetlejuice 2,2024,N/A,,,,N/A
155. A Christmas Story Christmas,2022,98,PG,6.7,55,"16,959"
156. Pulp Fiction,1994,154,R,8.9,95,"2,169,046"
157. Love,2015,135,TV-MA,6.1,51,"65,072"
158. Dungeons & Dragons: Honor Among Thieves,2023,134,PG-13,7.3,72,"204,645"
159. Night Swim,2024,116,PG-13,,,N/A
160. Inception,2010,148,PG-13,8.8,74,"2,494,594"
161. Avatar: The Way of Water,2022,192,PG-13,7.6,67,"471,012"
162. L.A. Confidential,1997,138,R,8.2,91,"606,502"
163. The Family Plan,2023,118,PG-13,,,N/A
164. The Family Stone,2005,103,PG-13,6.3,56,"72,774"
165. The Oath,2023,104,PG-13,3.2,,182
"166. Salò, or the 120 Days of Sodom",1975,117,TV-MA,5.8,,"64,490"
167. Godzilla: King of the Monsters,2019,132,PG-13,6.0,48,"198,112"
168. The Jester,2023,90,,4.1,,899
169. Black Swan,2010,108,R,8.0,79,"807,940"
170. Top Gun: Maverick,2022,130,PG-13,8.3,78,"645,731"
171. She's the Man,2006,105,PG-13,6.4,45,"171,779"
172. Babylon,2022,189,R,7.1,61,"154,302"
173. Inglourious Basterds,2009,153,R,8.4,69,"1,544,592"
174. Fair Play,2023,113,R,6.4,73,"29,132"
175. Nyad,2023,121,PG-13,7.1,64,"12,639"
176. Joker: Folie à Deux,2024,N/A,,,,N/A
177. How the Gringo Stole Christmas,2023,81,PG-13,3.3,,270
178. Home Alone 3,1997,102,PG,4.6,,"124,009"
179. Good Burger 2,2023,90,TV-PG,5.4,48,"2,187"
180. Death on the Nile,2022,127,PG-13,6.3,52,"179,406"
181. Raiders of the Lost Ark,1981,115,PG,8.4,86,"1,020,931"
182. The Gentlemen,2019,113,R,7.8,51,"377,060"
183. Pearl,2022,103,R,7.0,76,"82,447"
184. Please Don't Destroy: The Treasure of Foggy Mountain,2023,92,R,6.1,49,"4,012"
185. Kingdom of the Planet of the Apes,2024,N/A,,,,N/A
186. Django Unchained,2012,165,R,8.5,81,"1,655,489"
187. Naga,2023,111,TV-MA,4.9,,"3,340"
188. Mission Raniganj,2023,134,,7.4,,"14,435"
189. Lucy,2014,89,R,6.4,62,"524,771"
190. Bad Santa,2003,92,R,7.1,70,"151,345"
191. Whiplash,2014,106,R,8.5,89,"950,786"
192. The Flash,2023,144,PG-13,6.7,55,"189,703"
193. Midsommar,2019,148,R,7.1,72,"381,094"
194. Once Upon a Time in Hollywood,2019,161,R,7.6,83,"813,316"
195. American Fiction,2023,117,R,7.8,80,862
196. Uncharted,2022,116,PG-13,6.3,45,"245,520"
197. Elemental,2023,101,PG,7.0,58,"101,467"
198. Eyes Wide Shut,1999,159,TV-MA,7.5,69,"366,080"
199. Fast X,2023,141,PG-13,5.8,56,"104,634"
200. Fallen Leaves,2023,81,,7.6,87,"4,925"
201. The Hunger Games: Mockingjay - Part 2,2015,137,PG-13,6.5,65,"360,352"
202. The Muppet Christmas Carol,1992,85,G,7.8,64,"66,408"
203. The Three Musketeers - Part I: D'Artagnan,2023,121,,6.7,78,"14,760"
204. All of Us Strangers,2023,105,R,,91,N/A
205. The Menu,2022,107,R,7.2,71,"364,492"
206. The Nightmare Before Christmas,1993,76,PG,7.9,82,"367,736"
207. Jack Frost,1998,101,PG,5.4,40,"39,653"
"208. The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,143,PG,6.9,75,"419,487"
209. The Christmas Chronicles,2018,104,PG,7.0,52,"80,385"
210. Expend4bles,2023,103,R,4.8,30,"26,806"
211. Triangle of Sadness,2022,147,R,7.3,63,"162,262"
212. Goodfellas,1990,145,R,8.7,92,"1,229,474"
213. Thank You for Coming,2023,119,,4.9,68,"7,643"
214. Silver and the Book of Dreams,2023,92,,5.6,,627
215. The Northman,2022,137,R,7.0,82,"241,655"
216. Requiem for a Dream,2000,102,Unrated,8.3,71,"883,051"
217. Transformers: Rise of the Beasts,2023,127,PG-13,6.1,42,"90,455"
218. Parasite,2019,132,R,8.5,96,"909,208"
219. Kingdom of Heaven,2005,144,R,7.2,63,"307,049"
220. The Covenant,2023,123,R,7.5,63,"143,062"
221. Merry Little Batman,2023,92,,6.4,,932
222. American Pie,1999,95,R,7.0,58,"426,775"
223. American Psycho,2000,102,R,7.6,64,"689,136"
224. Miracle on 34th Street,1947,96,Not Rated,7.9,88,"52,603"
225. Léon: The Professional,1994,110,R,8.5,64,"1,221,106"
226. Sing 2,2021,110,PG,7.4,49,"81,849"
227. Spider-Man: No Way Home,2021,148,PG-13,8.2,71,"847,828"
228. There Will Be Blood,2007,158,R,8.2,93,"628,198"
229. The Hunger Games: Mockingjay - Part 1,2014,123,PG-13,6.6,64,"489,559"
230. Joker,2019,122,R,8.4,59,"1,428,735"
231. Journey to Bethlehem,2023,99,PG,6.3,,"1,001"
232. Se7en,1995,127,R,8.6,65,"1,755,958"
233. Bullet Train,2022,127,R,7.3,49,"396,821"
234. Avengers: Endgame,2019,181,PG-13,8.4,78,"1,231,619"
