Pavadinimas,Metai,Trukme,Filmo indeksas,Ivertinimas pagal zmones,Ivertinimas pagal kritikus,Votes
Suicide Squad,2016,123,PG-13,5.9,40,"712,797"
Feast of the Seven Fishes,2019,99,,6.8,68,"2,491"
Sound of Freedom,2023,131,PG-13,7.7,36,"88,501"
Godzilla,2014,123,PG-13,6.4,62,"431,656"
Charlie and the Chocolate Factory,2005,115,PG,6.7,72,"512,636"
Uncle Buck,1989,100,PG,7.1,51,"105,487"
Klaus,2019,96,PG,8.2,65,"176,763"
Jingle All the Way,1996,89,PG,5.7,34,"112,304"
Office Christmas Party,2016,105,R,5.9,42,"85,608"
Bottoms,2023,91,R,6.8,74,"24,003"
A Christmas Carol,2009,96,PG,6.8,55,"125,930"
EXmas,2023,93,,5.7,,"2,975"
Christmas with the Kranks,2004,99,PG,5.4,22,"55,205"
The Dark Knight,2008,152,PG-13,9.0,84,"2,810,373"
Prometheus,2012,124,R,7.0,64,"634,620"
Gremlins,1984,106,PG,7.3,70,"241,301"
Four Christmases,2008,88,PG-13,5.7,41,"78,168"
Mean Girls,2024,N/A,,,,N/A
The Naughty Nine,2023,83,TV-PG,5.1,,"1,247"
Titanic,1997,194,PG-13,7.9,75,"1,256,593"
Watchmen,2009,162,R,7.6,56,"573,644"
Argylle,2024,135,PG-13,,,N/A
The Zone of Interest,2023,105,PG-13,8.0,94,"1,557"
The Santa Clause 2,2002,104,G,5.7,48,"62,423"
The Lord of the Rings: The Fellowship of the Ring,2001,178,PG-13,8.8,92,"1,963,944"
Christmas as Usual,2023,88,TV-14,5.5,,"1,756"
Gladiator 2,2024,N/A,,,,N/A
When Evil Lurks,2023,99,Not Rated,7.0,75,"16,138"
Blade Runner 2049,2017,164,R,8.0,81,"636,040"
Asteroid City,2023,105,PG-13,6.6,75,"89,582"
A Good Person,2023,128,R,7.1,50,"17,272"
Old Dads,2023,104,R,6.2,42,"32,806"
Krampus,2015,98,PG-13,6.2,49,"81,095"
The Boys in the Boat,2023,124,PG-13,,,N/A
Guardians of the Galaxy Vol. 3,2023,150,PG-13,7.9,64,"349,990"
Fight Club,1999,139,R,8.8,67,"2,264,566"
The Marsh King's Daughter,2023,109,R,5.9,46,"4,341"
Gran Turismo,2023,134,PG-13,7.2,48,"62,827"
Migration,2023,92,PG,7.2,,378
Fargo,1996,98,R,8.1,86,"710,499"
Pain Hustlers,2023,123,R,6.5,44,"31,159"
Dumb Money,2023,105,R,6.9,66,"20,121"
Saw X,2023,118,R,6.6,60,"58,456"
Priscilla,2023,113,R,7.1,78,"6,197"
Beetlejuice 2,2024,N/A,,,,N/A
A Christmas Story Christmas,2022,98,PG,6.7,55,"16,981"
Pulp Fiction,1994,154,R,8.9,95,"2,169,181"
Love,2015,135,TV-MA,6.1,51,"65,073"
Dungeons & Dragons: Honor Among Thieves,2023,134,PG-13,7.3,72,"204,739"
Night Swim,2024,116,PG-13,,,N/A
Inception,2010,148,PG-13,8.8,74,"2,494,721"
Avatar: The Way of Water,2022,192,PG-13,7.6,67,"471,094"
L.A. Confidential,1997,138,R,8.2,91,"606,563"
The Family Plan,2023,118,PG-13,,,N/A
The Family Stone,2005,103,PG-13,6.3,56,"72,810"
The Oath,2023,104,PG-13,3.3,,191
"Salò, or the 120 Days of Sodom",1975,117,TV-MA,5.8,,"64,501"
Godzilla: King of the Monsters,2019,132,PG-13,6.0,48,"198,162"
The Jester,2023,90,,4.1,,903
Black Swan,2010,108,R,8.0,79,"808,010"
